Internet Content & Information,Telecom Services,Entertainment,Electronic Gaming & Multimedia,Advertising Agencies,Publishing,Broadcasting
GOOG,TMUS,NFLX,EA,OMC,NYT,NXST
META,VZ,DIS,RBLX,IPG,WLY,TGNA
SPOT,CMCSA,LYV,TTWO,ZD,GCI,SBGI
DASH,T,WBD,PLTK,STGW,SCHL,GTN-A
PINS,CHTR,FWONA,GDEV,MGNI,LEE,SGA
SNAP,LBRDA,FOXA,SKLZ,IAS,SADL,PEGX
ZG,FYBR,WMG,,QNST,CMTX,BBGI
RDDT,LBTYA,NWSA,,DLX,,
MTCH,LUMN,ROKU,,NCMI,,
IAC,USM,TKO,,TSQ,,
DJT,TIGO,EDR,,TZOO,,
YELP,CCOI,SIRI,,QMMM,,
GENI,IRDM,PARA,,TZUP,,
UPWK,TDS,MSGS,,,,
CVTV,CABO,LLYVA,,,,
MAX,LILA,CNK,,,,
SSTK,IDT,MANU,,,,
PGRU,GOGO,BATRA,,,,
NRDS,SHEN,LION,,,,
FVRR,ATEX,LGF-B,,,,
EVER,ATNI,SPHR,,,,
TTGT,WOW,PLAY,,,,
THRY,RDCM,IMAX,,,,
GRPN,NUVR,RSVR,,,,
BODI,,MCS,,,,
SCOR,,AMCX,,,,
LCFY,,RCCB,,,,
