Internet Retail,Auto Manufacturers,Restaurants,Home Improvement Retail,Travel Services,Specialty Retail,Apparel Retail,Residential Construction,Footwear & Accessories,Packaging & Containers,Lodging,Auto Parts,Auto & Truck Dealerships,Resorts & Casinos,Gambling,Leisure,Apparel Manufacturing,"Furnishings, Fixtures & Appliances",Personal Services,Recreational Vehicles,Luxury Goods,Department Stores,Textile Manufacturing
AMZN,TSLA,MCD,HD,BKNG,ORLY,TJX,DHI,NKE,SW,H,GPC,CVNA,LVS,FLUT,HAS,RL,SN,ROL,LCII,TPR,JWN,AIN
MELI,GM,SBUX,LOW,ABNB,AZO,ROST,LEN,DECK,BALL,HLT,APTV,KMX,MGM,DKNG,AS,LEVI,MHK,SCI,MBUU,SIG,M,CULP
CPNG,F,CMG,FND,RCL,TSCO,LULU,NVR,ONON,PKG,WH,LKQ,PAG,WYNN,CHDN,PLNT,VFC,TPX,HRB,THO,ELA,DDS,UFI
EBAY,RIVN,YUM,ARHS,CCL,BBY,BURL,PHM,SKX,AVY,CHH,MBLY,LAD,CZR,LNW,MAT,PVH,WHR,BFAM,HOG,CPRI,KSS,
CHWY,LVWR,YUMC,HVT,EXPE,WSM,GAP,TOL,BIRK,IP,SHCO,ALSN,AN,MTN,IGT,LTH,COLM,PATK,FTDR,BC,MOV,,
CART,CYD,DRI,TTSH,VIK,ULTA,ANF,MTH,CROX,AMCR,MAR,BWA,VVV,BYD,RSI,GOLF,KTB,MBC,CSV,WGO,MAJJ,,
W,,CAVA,CLWY,MMYT,DKS,BOOT,TMHC,SHOO,CCK,CVEO,ALV,GPI,RRR,EVRI,FUN,UAA,LEG,MED,MCFT,,,
GLBE,,DPZ,LIVE,NCLH,CASY,AEO,IBP,TODGF,GPK,BUHF,MOD,ABG,HGV,ACEL,YETI,HBI,MLKN,RGS,PII,,,
ETSY,,TXRH,,TNL,MUSA,URBN,KBH,WWW,BERY,INTG,GNTX,RUSHA,PENN,AGS,PRKS,ZGN,LZB,PLWN,MPX,,,
RVLV,,WING,,TRIP,GME,CRI,SKY,DBI,REYN,,LEA,ACVA,VAC,CDRO,VSTO,GIII,AMWD,,,,,
LQDT,,BROS,,DESP,BBWI,BKE,MHO,WEYS,SLGN,,DORM,CARG,MCRI,GAMB,MSGE,OXM,ETD,,,,,
BYON,,SHAK,,LIND,RH,FL,TPH,RCKY,SON,,QS,DRVN,PLYA,INSE,MODG,FIGS,HBB,,,,,
LOGC,,SG,,,FIVE,VSCO,GRBK,VRA,SEE,,VC,MCW,GDEN,CPHC,OSW,SGC,LOVE,,,,,
SDWL,,EAT,,,ASO,CAL,CVCO,,GEF,,GT,SAH,BALY,,BOWL,PLCE,SNBR,,,,,
NHTC,,WEN,,,AAP,SCVL,DFH,,PTVE,,PHIN,KAR,FLL,,FNKO,LAKE,IRBT,,,,,
MI,,CAKE,,,EVGO,GES,LGIH,,OI,,ADNT,SDA,ARHN,,XPOF,,VIRC,,,,,
,,ARCO,,,SVV,LE,HOV,,TRS,,GTX,CWH,,,DOGZ,,FLXS,,,,,
,,PZZA,,,WOOF,ZUMZ,BZH,,KRT,,FOXF,CARS,,,JOUT,,HOFT,,,,,
,,BLMN,,,SBH,JILL,LEGH,,PACK,,DAN,CRMT,,,JAKK,,LCUT,,,,,
,,CNNE,,,WINA,GCO,UHG,,MYE,,THRM,KFS,,,ESCA,,BSET,,,,,
,,CBRL,,,ODP,AKA,NOBH,,,,XPEL,UCAR,,,AOUT,,KEQU,,,,,
,,KRUS,,,EYE,CTRN,,,,,MNRO,VRM,,,YYAI,,,,,,,
,,JACK,,,ARKO,CATO,,,,,AXL,,,,LEAT,,,,,,,
,,FWRG,,,HZO,BIRD,,,,,MLR,,,,BOLL,,,,,,,
,,PTLO,,,FLWS,RENT,,,,,SMP,,,,,,,,,,,
,,BJRI,,,BWMX,,,,,,PLOW,,,,,,,,,,,
,,CHUY,,,BBW,,,,,,SRI,,,,,,,,,,,
,,BH,,,ONEW,,,,,,CPS,,,,,,,,,,,
,,DIN,,,FTEL,,,,,,STRT,,,,,,,,,,,
,,LOCO,,,BNED,,,,,,REE,,,,,,,,,,,
,,RICK,,,WCRS,,,,,,MPAA,,,,,,,,,,,
,,NATH,,,TCS,,,,,,HLRD,,,,,,,,,,,
,,DENN,,,,,,,,,,,,,,,,,,,,
,,GENK,,,,,,,,,,,,,,,,,,,,
,,CHSN,,,,,,,,,,,,,,,,,,,,
,,PBPB,,,,,,,,,,,,,,,,,,,,
,,MHGU,,,,,,,,,,,,,,,,,,,,
,,BDL,,,,,,,,,,,,,,,,,,,,
,,ARKR,,,,,,,,,,,,,,,,,,,,
,,YOSH,,,,,,,,,,,,,,,,,,,,
,,GGLT,,,,,,,,,,,,,,,,,,,,
