Banks - Diversified,Credit Services,Asset Management,Insurance - Diversified,Banks - Regional,Capital Markets,Financial Data & Stock Exchanges,Insurance - Property & Casualty,Insurance Brokers,Insurance - Life,Insurance - Specialty,Mortgage Finance,Insurance - Reinsurance,Shell Companies,Financial Conglomerates
JPM,V,BX,BRK-B,PNC,MS,SPGI,PGR,MMC,AFL,RYAN,RKT,EG,PBAJ,VOYA
BAC,MA,BLK,AIG,USB,GS,ICE,CB,AON,MET,FNF,UWMC,RGA,AACT,TREE
WFC,AXP,KKR,ACGL,NU,SCHW,MCO,TRV,AJG,PRU,ESNT,COOP,RNR,ANSC,MGOM
RY,PYPL,APO,EQH,TFC,IBKR,CME,ALL,WTW,UNM,AXS,PFSI,SPNT,AAM,
C,COF,ARES,ESGR,MTB,TW,MSCI,HIG,BRO,GL,FAF,WD,HG,NETD,
TD,DFS,AMP,GSHD,FITB,HOOD,COIN,WRB,ERIE,PRI,MTG,ECPG,GLRE,CCIX,
BK,SYF,OWL,FIHL,FCNCA,LPLA,NDAQ,CINF,CRVL,JXN,ACT,GHLD,,GPAT,
NTB,ALLY,STT,IGIC,HBAN,JEF,CBOE,MKL,BWIN,FG,RDN,VEL,,ALF,
,SOFI,RJF,,RF,HLI,TRU,L,CRD-A,LNC,AGO,GHI,,MBAV,
,OBDC,TROW,,CFG,MKTX,FDS,CNA,TWFG,CNO,NMIH,ONIT,,IPXX,
,OMF,TPG,,KEY,SF,MORN,AFG,GOCO,GNW,TRUP,BETR,,GIG,
,CACC,PFG,,BAP,XP,DNB,KNSL,,BHF,EIG,SNFCA,,HYAC,
,FCFS,NTRS,,EWBC,EVR,OTCM,AIZ,,ABL,AMSF,IOR,,JWSM,
,SLM,CRBG,,WAL,FRHC,VALU,ORI,,KCLI,TIPT,TWAC,,CUB,
,NNI,CG,,FHN,PJT,,RLI,,FLFG,AMBC,,,SIMA,
,WU,ARCC,,WBS,VIRT,,SIGI,,,HIPO,,,GRAF,
,UPST,BEN,,CMA,BGC,,THG,,,ITIC,,,LPAA,
,BFH,HLNE,,CBSH,MARA,,WTM,,,JRVR,,,LEGT,
,ENVA,SEIC,,PNFP,MC,,KMPR,,,ICCH,,,SLAMF,
,NAVI,IVZ,,SSB,PIPR,,HGTY,,,PPHI,,,SVII,
,AGM-A,STEP,,CFR,LAZ,,MCY,,,STLY,,,RENE,
,OCSL,PDI,,WTFC,SNEX,,PLMR,,,,,,HLXB,
,SEZL,JHG,,ZION,RIOT,,STC,,,,,,CLBR,
,PRAA,BXSL,,BPOP,CLSK,,SKWD,,,,,,MACI,
,TRIN,FSK,,PB,MRX,,HMN,,,,,,IVCB,
,LPRO,AMG,,BOKF,PWP,,SAFT,,,,,,KVAC,
,WRLD,PSLV,,SNV,IREN,,LMND,,,,,,GHIX,
,EZPW,CNS,,ONB,HUT,,HCI,,,,,,HCVI,
,GDOT,MAIN,,CADE,AMRK,,BOW,,,,,,SKGR,
,ATLC,GBDC,,COLB,OPY,,PRA,,,,,,SPKL,
,RWAY,AB,,HOMB,SRL,,ROOT,,,,,,BRKH,
,RM,VCTR,,GBCI,PROP,,UFCS,,,,,,RRAC,
,PMTS,NEA,,FFIN,MDBH,,UVE,,,,,,MCAA,
,CPSS,DNP,,UMBF,COHN,,DGICA,,,,,,LCW,
,CFNB,HTGC,,FNB,TRAC,,ACIC,,,,,,ALCY,
,MFIN,FHI,,UBSI,,,GBLI,,,,,,EVE,
,FOA,APAM,,OZK,,,NODK,,,,,,IBAC,
,MBDC,BUR,,VLY,,,HRTG,,,,,,ESHA,
,OMCC,NAD,,NYCB,,,KINS,,,,,,FLD,
,,NVG,,HWC,,,,,,,,,BFAC,
,,CSQ,,SFBS,,,,,,,,,RFAI,
,,UTG,,ABCB,,,,,,,,,BCSA,
,,EXG,,IBOC,,,,,,,,,ISRL,
,,JPC,,TFSL,,,,,,,,,MNTN,
,,NZF,,AX,,,,,,,,,PHYT,
,,UTF,,BANF,,,,,,,,,ZLSSF,
,,ADX,,TCBI,,,,,,,,,ATEK,
,,PTY,,UCB,,,,,,,,,RMGCF,
,,ETY,,FBP,,,,,,,,,RCFA,
,,GOF,,AUB,,,,,,,,,PLAO,
,,PSEC,,EBC,,,,,,,,,CSTAF,
,,BDVC,,ASB,,,,,,,,,APXI,
,,GDV,,FULT,,,,,,,,,CHEB,
,,GCMG,,FIBK,,,,,,,,,SEDA,
,,USA,,CATY,,,,,,,,,CFFS,
,,KYN,,CBU,,,,,,,,,PLMJ,
,,FTF,,WSFS,,,,,,,,,PCSC,
,,TSLX,,FHB,,,,,,,,,TLGY,
,,NUV,,WAFD,,,,,,,,,CSLM,
,,CLM,,SFNC,,,,,,,,,CEP,
,,RQI,,INTR,,,,,,,,,THCP,
,,EVT,,TBBK,,,,,,,,,IXAQ,
,,ECAT,,PRK,,,,,,,,,TBMC,
,,OBDE,,BKU,,,,,,,,,BOWN,
,,MSDL,,CVBF,,,,,,,,,PWUP,
,,RVT,,BOH,,,,,,,,,BFGX,
,,BCAT,,TOWN,,,,,,,,,AFJK,
,,NAC,,INDB,,,,,,,,,EVGR,
,,PAX,,HTLF,,,,,,,,,GLAC,
,,OXLC,,IBTX,,,,,,,,,QETA,
,,PDO,,PPBI,,,,,,,,,CNGL,
,,GAB,,PFS,,,,,,,,,DYCQ,
,,BMEZ,,FFBC,,,,,,,,,CITE,
,,BIGZ,,BANC,,,,,,,,,TMTC,
,,GSBD,,SBCF,,,,,,,,,IVCA,
,,ETV,,FBK,,,,,,,,,BKHA,
,,BDJ,,FRME,,,,,,,,,ACAB,
,,STEW,,LOB,,,,,,,,,IROH,
,,WT,,RNST,,,,,,,,,ONYX,
,,ETG,,BANR,,,,,,,,,DTSQ,
,,VRTS,,NBTB,,,,,,,,,FSHP,
,,HYT,,MBIN,,,,,,,,,HSPO,
,,BSTZ,,HTH,,,,,,,,,AXAC,
,,BTT,,OFG,,,,,,,,,VMCA,
,,BXMX,,TRMK,,,,,,,,,CDAQ,
,,DSL,,EFSC,,,,,,,,,IRRX,
,,CET,,SYBT,,,,,,,,,WEL,
,,NMZ,,WSBC,,,,,,,,,OAKU,
,,NMFC,,TFIN,,,,,,,,,LATG,
,,MFIC,,FBNC,,,,,,,,,DPCS,
,,BST,,CLBK,,,,,,,,,BLEU,
,,GAM,,CHCO,,,,,,,,,AITR,
,,PX,,CASH,,,,,,,,,BAYA,
,,EVV,,FCF,,,,,,,,,TCOA,
,,QQQX,,NWBI,,,,,,,,,JVSA,
,,NFJ,,LKFN,,,,,,,,,ATMV,
,,JFR,,NBHC,,,,,,,,,SBXC,
,,CSWC,,STBA,,,,,,,,,FNVT,
,,BRDG,,HOPE,,,,,,,,,TETE,
,,FPF,,CUBI,,,,,,,,,ATMC,
