Semiconductors,Software - Infrastructure,Consumer Electronics,Software - Application,Information Technology Services,Semiconductor Equipment & Materials,Communication Equipment,Computer Hardware,Electronic Components,Scientific & Technical Instruments,Solar,Electronics & Computer Distribution
NVDA,MSFT,AAPL,CRM,ACN,AMAT,CSCO,ANET,APH,GRMN,FSLR,SNX
AVGO,ORCL,VZIO,NOW,IBM,KLAC,MSI,DELL,TEL,KEYS,NXT,NSIT
AMD,ADBE,SONO,INTU,FI,LRCX,HPE,HPQ,GLW,FTV,ARRY,ARW
QCOM,PANW,HEAR,UBER,FIS,TER,ZBRA,SMCI,JBL,TDY,NOVA,AVT
TXN,PLTR,VOXX,ADP,IT,ENTG,UI,NTAP,FLEX,TRMB,ENPH,CNXN
MU,SNPS,UEIC,CDNS,CTSH,ONTO,JNPR,WDC,OLED,COHR,SHLS,SCSC
ADI,CRWD,KOSS,WDAY,CDW,AMKR,CIEN,STX,FN,MKSI,CSIQ,RYSVF
INTC,FTNT,FOXX,ROP,BR,NVMI,ASTS,PSTG,LFUS,CGNX,RUN,CLMB
MRVL,SQ,,ADSK,LDOS,CAMT,SATS,IONQ,PLXS,BMI,SEDG,
NXPI,NET,,TTD,JKHY,FORM,PI,CRCT,SANM,NOVT,FLDI,
MPWR,IOT,,PAYX,CACI,IPGP,BDC,CRSR,OSIS,ST,,
MCHP,ZS,,FICO,PSN,ACLS,LITE,SSYS,ROG,VNT,,
ON,CPAY,,APP,EPAM,KLIC,VIAV,ALOT,TTMI,ITRI,,
GFS,GDDY,,TEAM,AUR,AMBA,EXTR,KTCC,VICR,ESE,,
SWKS,CHKP,,DDOG,GLOB,VECO,INFN,EBON,BHE,MLAB,,
QRVO,MDB,,SNOW,SAIC,UCTT,HLIT,CCUR,KN,ITRN,,
ALAB,VRSN,,MSTR,G,PLAB,VSAT,,CTS,FARO,,
MTSI,GEN,,ANSS,EXLS,ACMR,COMM,,BELFB,VPG,,
LSCC,NTNX,,HUBS,KD,COHU,DGII,,DAKT,BKSY,,
CRUS,TOST,,TYL,CLVT,ICHR,AAOI,,LYTS,ODYS,,
CRDO,AKAM,,PTC,ASGN,AEHR,NTGR,,MEI,AATC,,
RMBS,FFIV,,ZM,DXC,INTT,CLFD,,OUST,ACFN,,
SITM,OKTA,,SSNC,CNXC,ASYS,ADTN,,ALNT,SOBR,,
ALGM,AFRM,,MANH,PRFT,TRT,ITI,,RELL,,,
SLAB,CYBR,,DT,NABL,,GILT,,MPTI,,,
POWI,TWLO,,GWRE,WNS,,AVNW,,NEON,,,
SMTC,DOX,,AZPN,VYX,,INSG,,ELTK,,,
SYNA,KVYO,,BSY,APLD,,FEIM,,LGL,,,
DIOD,WIX,,MNDY,XRX,,AIRG,,,,,
VSH,WEX,,DOCU,GDYN,,BKTI,,,,,
WOLF,FOUR,,DUOL,TASK,,SILC,,,,,
MXL,DBX,,DAY,HCKT,,VISL,,,,,
SGH,ALTR,,PAYC,DMRC,,,,,,,
AOSL,GTLB,,PCTY,CTLP,,,,,,,
CEVA,INFA,,PCOR,INOD,,,,,,,
LASR,S,,U,UIS,,,,,,,
SKYT,OS,,APPF,IBEX,,,,,,,
NVEC,ZETA,,ESTC,TTEC,,,,,,,
AIP,HCP,,SMAR,VEEA,,,,,,,
MRAM,PATH,,SPSC,TSSI,,,,,,,
QUIK,SQSP,,CVLT,GEDC,,,,,,,
,CFLT,,CCCS,CSPI,,,,,,,
,VRNS,,VERX,,,,,,,,
,RBRK,,CWAN,,,,,,,,
,ACIW,,PEGA,,,,,,,,
,TENB,,BILL,,,,,,,,
,BOX,,QXO,,,,,,,,
,QLYS,,LYFT,,,,,,,,
,EEFT,,QTWO,,,,,,,,
,DOCN,,YOU,,,,,,,,
,CLBT,,WK,,,,,,,,
,STNE,,BLKB,,,,,,,,
,CORZ,,ALIT,,,,,,,,
,PAYO,,PWSC,,,,,,,,
,TDC,,IDCC,,,,,,,,
,PRGS,,GBTG,,,,,,,,
,PAGS,,SRAD,,,,,,,,
,PAY,,ZI,,,,,,,,
,RELY,,NCNO,,,,,,,,
,DLO,,ENV,,,,,,,,
,CALX,,INST,,,,,,,,
,RPD,,BL,,,,,,,,
,APPN,,INTA,,,,,,,,
,ODD,,FRSH,,,,,,,,
,SWI,,ALKT,,,,,,,,
,AVPT,,BRZE,,,,,,,,
,FIVN,,LIF,,,,,,,,
,EVTC,,AI,,,,,,,,
,FLYW,,FROG,,,,,,,,
,EVCM,,AGYS,,,,,,,,
,STER,,DV,,,,,,,,
,AVDX,,RNG,,,,,,,,
,RAMP,,PLUS,,,,,,,,
,VRNT,,ASAN,,,,,,,,
,NTCT,,ALRM,,,,,,,,
,CSGS,,PYCR,,,,,,,,
,ZUO,,JAMF,,,,,,,,
,PSFE,,GRND,,,,,,,,
,RZLV,,NATL,,,,,,,,
,GCT,,SEMR,,,,,,,,
,GB,,SPNS,,,,,,,,
,ATEN,,PAR,,,,,,,,
,NN,,DFIN,,,,,,,,
,CINT,,CXM,,,,,,,,
,RDWR,,IBTA,,,,,,,,
,YEXT,,PD,,,,,,,,
,BASE,,DBD,,,,,,,,
,IIIV,,UPBD,,,,,,,,
,RPAY,,SPT,,,,,,,,
,PGY,,MLNK,,,,,,,,
,SCWX,,RUM,,,,,,,,
,AIOT,,WBTN,,,,,,,,
,IMXI,,VTEX,,,,,,,,
,OSPN,,ADEA,,,,,,,,
,PRTH,,KARO,,,,,,,,
,BAND,,BTDR,,,,,,,,
,CGNT,,PDFS,,,,,,,,
,EXOD,,BMBL,,,,,,,,
,CCSI,,AMPL,,,,,,,,
,LSAK,,FSLY,,,,,,,,
